Current,Tension
-0.000472763,-40.00143
-0.000472229,-39.89851
-0.000472049,-39.79879
-0.000472108,-39.69918
-0.000471087,-39.59996
-0.00047115,-39.50031
-0.000471942,-39.40123
-0.000470517,-39.29828
-0.000471212,-39.19896
-0.000470463,-39.09935
-0.000469904,-38.99973
-0.000469937,-38.9002
-0.000469492,-38.80088
-0.000469502,-38.69804
-0.000468865,-38.599
-0.000468853,-38.49939
-0.000468796,-38.4001
-0.000467704,-38.30054
-0.000467862,-38.20088
-0.000468178,-38.10123
-0.000468494,-37.99833
-0.000466951,-37.89908
-0.000466504,-37.79949
-0.000466119,-37.70045
-0.000466118,-37.60081
-0.000465752,-37.50147
-0.000466219,-37.39862
-0.000465277,-37.29898
-0.000465211,-37.19944
-0.000464306,-37.10015
-0.000463582,-37.00058
-0.000463191,-36.90149
-0.000463265,-36.79855
-0.000463064,-36.69936
-0.000462911,-36.59975
-0.000463633,-36.50008
-0.000462159,-36.40038
-0.000461862,-36.30083
-0.000461498,-36.19819
-0.000461676,-36.0986
-0.00046158,-35.99949
-0.000461402,-35.89987
-0.000460422,-35.80059
-0.000460142,-35.70105
-0.000459582,-35.60114
-0.000460245,-35.49829
-0.000459939,-35.39904
-0.000458881,-35.2995
-0.000459036,-35.20041
-0.000458037,-35.10078
-0.00045792,-35.00158
-0.000457639,-34.8987
-0.000457298,-34.79893
-0.000457186,-34.69918
-0.000457931,-34.59961
-0.000456269,-34.5004
-0.000456152,-34.40082
-0.000455764,-34.29836
-0.000456234,-34.1989
-0.000456441,-34.09957
-0.000454961,-33.99997
-0.000455224,-33.9003
-0.000454466,-33.80072
-0.000454026,-33.69805
-0.000453912,-33.59854
-0.000453425,-33.49947
-0.000453428,-33.39993
-0.000453069,-33.30059
-0.000452584,-33.201
-0.000452382,-33.10127
-0.000451838,-32.99826
-0.000451532,-32.89865
-0.000451261,-32.7994
-0.000451053,-32.69988
-0.000450607,-32.60072
-0.000450721,-32.50117
-0.00045062,-32.3985
-0.000449816,-32.29888
-0.000449838,-32.19886
-0.000449356,-32.09917
-0.000449174,-31.99997
-0.000449215,-31.90029
-0.000448218,-31.79805
-0.000448291,-31.69844
-0.00044763,-31.59911
-0.000447892,-31.49955
-0.000448175,-31.39989
-0.000446738,-31.30013
-0.000446381,-31.20063
-0.000446196,-31.0981
-0.000446057,-30.99847
-0.000445503,-30.89938
-0.000445275,-30.7998
-0.000445604,-30.70052
-0.000444636,-30.60093
-0.000444429,-30.49801
-0.000444468,-30.39837
-0.00044459,-30.29906
-0.000443538,-30.19953
-0.00044317,-30.10044
-0.000443014,-30.00087
-0.000442637,-29.89829
-0.000442988,-29.7987
-0.000442192,-29.69901
-0.000441709,-29.59937
-0.000441491,-29.49964
-0.000441044,-29.40038
-0.000440729,-29.29746
-0.000440688,-29.19847
-0.000441491,-29.09883
-0.000441413,-28.99952
-0.000439627,-28.89986
-0.000439241,-28.8001
-0.000439077,-28.70043
-0.000439396,-28.59786
-0.000438546,-28.49828
-0.000439227,-28.39924
-0.000437762,-28.2997
-0.000438038,-28.20037
-0.000437438,-28.10081
-0.000437745,-27.99771
-0.000436675,-27.89817
-0.00043675,-27.79846
-0.000436311,-27.69928
-0.00043636,-27.59962
-0.000436049,-27.50054
-0.000435335,-27.39772
-0.000435079,-27.29843
-0.000434762,-27.19877
-0.000435033,-27.0991
-0.000434508,-26.99958
-0.000433909,-26.90023
-0.000433254,-26.80066
-0.000433677,-26.6982
-0.000432693,-26.59861
-0.000432375,-26.4993
-0.000432441,-26.39985
-0.000431859,-26.30001
-0.000431445,-26.2005
-0.000431277,-26.09776
-0.00043171,-25.99813
-0.000431213,-25.89852
-0.000430321,-25.79939
-0.000430459,-25.69986
-0.000429916,-25.60053
-0.000429414,-25.49751
-0.000428908,-25.39817
-0.00042893,-25.29866
-0.000428903,-25.19926
-0.000428139,-25.09973
-0.00042777,-25.00069
-0.000427472,-24.89791
-0.000427379,-24.79859
-0.000426971,-24.69899
-0.000426543,-24.59933
-0.000427088,-24.49974
-0.00042604,-24.40049
-0.000425409,-24.30077
-0.000425319,-24.19787
-0.000425048,-24.09887
-0.000424589,-23.99934
-0.000424376,-23.89997
-0.000424003,-23.80043
-0.0004243,-23.70086
-0.000423498,-23.59803
-0.000423927,-23.49879
-0.00042271,-23.39914
-0.000422387,-23.30004
-0.000422396,-23.20047
-0.000421911,-23.10116
-0.000421497,-22.99819
-0.000421486,-22.89848
-0.000420966,-22.79899
-0.000421159,-22.69968
-0.000420076,-22.59993
-0.000419699,-22.50032
-0.000420116,-22.40135
-0.000420426,-22.29841
-0.000418542,-22.19911
-0.000418287,-22.09941
-0.00041794,-21.99974
-0.00041797,-21.90017
-0.000417754,-21.80091
-0.000417192,-21.69789
-0.000416662,-21.59879
-0.000416255,-21.49928
-0.000416065,-21.40005
-0.000415769,-21.30038
-0.000415411,-21.20061
-0.000415007,-21.09784
-0.000414795,-20.9986
-0.000414624,-20.89902
-0.000414327,-20.79928
-0.000413651,-20.70026
-0.000413466,-20.60069
-0.000413075,-20.49808
-0.000412743,-20.3983
-0.000412392,-20.29882
-0.000412032,-20.19926
-0.000411758,-20.09997
-0.000411348,-20.00023
-0.000411007,-19.90129
-0.00041086,-19.79839
-0.000410483,-19.69909
-0.000410011,-19.59949
-0.000409819,-19.49971
-0.000409431,-19.40027
-0.000408981,-19.30087
-0.000408731,-19.19796
-0.000409114,-19.09803
-0.000407921,-18.99918
-0.00040758,-18.8995
-0.000407273,-18.80022
-0.000407034,-18.70051
-0.000406512,-18.59728
-0.000406055,-18.4978
-0.000405649,-18.39857
-0.000405892,-18.2989
-0.000405502,-18.19981
-0.000404598,-18.10028
-0.000404208,-17.99753
-0.000403944,-17.89807
-0.000403648,-17.79831
-0.000403262,-17.6988
-0.000402957,-17.59947
-0.000402214,-17.49993
-0.000402099,-17.40013
-0.00040162,-17.29787
-0.000401381,-17.19826
-0.000402098,-17.09899
-0.000400814,-16.99938
-0.00040083,-16.89979
-0.000399961,-16.8002
-0.000399627,-16.69763
-0.000399206,-16.59809
-0.000398817,-16.49887
-0.000398441,-16.39938
-0.000398347,-16.30003
-0.000397627,-16.20046
-0.000397254,-16.09733
-0.000396922,-15.99786
-0.000397617,-15.89859
-0.00039615,-15.79899
-0.000395999,-15.69985
-0.000395892,-15.60015
-0.00039506,-15.50056
-0.000394406,-15.39785
-0.000394499,-15.29832
-0.000394889,-15.19842
-0.000393636,-15.09894
-0.000393334,-14.99976
-0.000392963,-14.90021
-0.000393092,-14.7978
-0.00039238,-14.69819
-0.000391644,-14.59885
-0.000391283,-14.4993
-0.00039107,-14.39954
-0.000390655,-14.30003
-0.000391225,-14.19741
-0.000389694,-14.09778
-0.000389804,-13.99864
-0.000389066,-13.89894
-0.000388674,-13.7994
-0.000389456,-13.7001
-0.000387446,-13.59719
-0.000388247,-13.4976
-0.000387394,-13.39804
-0.000386625,-13.29882
-0.000386263,-13.19915
-0.000387117,-13.10008
-0.00038555,-13.0005
-0.0003858,-12.89775
-0.000384935,-12.79822
-0.000384382,-12.69841
-0.00038433,-12.59877
-0.000384504,-12.49948
-0.000383628,-12.39993
-0.000382808,-12.29741
-0.000382496,-12.19785
-0.000382824,-12.0981
-0.000381895,-11.99878
-0.000381192,-11.89918
-0.000381085,-11.79961
-0.000381155,-11.69667
-0.0003802,-11.59751
-0.000379601,-11.49788
-0.000379964,-11.39887
-0.000378808,-11.29912
-0.000378981,-11.20001
-0.000378838,-11.10035
-0.000377711,-10.99746
-0.000377246,-10.89797
-0.00037677,-10.79863
-0.000376403,-10.69903
-0.000376008,-10.59991
-0.000375805,-10.50032
-0.000375294,-10.39706
-0.000374872,-10.2979
-0.000374654,-10.19831
-0.000373995,-10.09883
-0.000373686,-9.99917
-0.000373286,-9.90009
-0.00037262,-9.79724
-0.000371976,-9.6982
-0.000371548,-9.59854
-0.000371599,-9.49919
-0.000371188,-9.39961
-0.000370822,-9.29989
-0.000370306,-9.19698
-0.000369831,-9.09759
-0.000369251,-8.99812
-0.000369416,-8.89884
-0.000368426,-8.79932
-0.00036815,-8.69948
-0.00036724,-8.60032
-0.000367232,-8.49726
-0.000366841,-8.39767
-0.000366456,-8.29808
-0.0003657,-8.19886
-0.000365356,-8.09928
-0.000364906,-8.00033
-0.000364299,-7.8973
-0.000363773,-7.79789
-0.000363525,-7.6984
-0.000363086,-7.59865
-0.000362732,-7.49924
-0.000362084,-7.39979
-0.000361703,-7.29701
-0.000361285,-7.19782
-0.000360362,-7.09833
-0.000359882,-6.99892
-0.000359752,-6.89919
-0.000359468,-6.79953
-0.00035891,-6.7001
-0.000358468,-6.59718
-0.000357223,-6.49666
-0.000357488,-6.39724
-0.000356529,-6.29825
-0.00035637,-6.19857
-0.000356178,-6.09907
-0.000355585,-5.99628
-0.000355,-5.8965
-0.000353439,-5.79703
-0.000353558,-5.69776
-0.000352324,-5.59798
-0.000352141,-5.49892
-0.000352788,-5.39587
-0.000351686,-5.29663
-0.000351181,-5.19685
